X	Y	FID	ID	Location_o	Area_	Managed_By	Playground	AGE_GROUP	List_of_Eq	Liosta_Tre	List_of_00	PUBLIC_TOI	OPENING_HO	PARKING	PHOTO
-952822	7020241	16	16	Loughrea (Garrabride)  Baile Locha Riach (Garraí Bríde)	South Galway - Loughrea	Galway County Council	"Garrabride, Dublin Road, Loughrea"	0-12	"Climber - Net – With Slide - Double, Rocker Rocker – 4 Way, Rocker – Crazy Hen, Rocker - Seesaw – Spring, Rotator – Bowl, 
Swing – Junior – 1 Bay 2 Seat"	"Dreapadóir,  Eangacha, Sleamhnán, Maide Corrach,  Lingeadan, Luascáin, srl."	None Specified	 	 	 	http://www.galway.ie/gis/playgrounds/16.jpg
-955310	7019628	17	17	Loughrea Gort Road (Baile Locha Riach)	South Galway - Loughrea	Galway County Council	"Lakeshore, Gort Road, Loughrea"	0-12	"Bridge, Climber with Net, Multiplay – Toddler, Multiplay with Slide, Rocker – Fish, Frog, Seal, Dolphin, Rocker – Seesaw – double width, Rocker – Spring x 3, Rotator – Bowl, Runaway Cable, Slide, Slide – embankment – with tunnel, Space Net, Swing Basket,"	"Droichead, Dreapadóir le Eangacha, Luascaire, Aonad Ilspraoi Lapadáin le Sleamhnán, Maide Corrach, Rúidchosán Cábla, Sleamhnán le tollán, Eangacha, Luascáin, Ciseán Luascadh, srl."	Swing Basket	 	 	 	http://www.galway.ie/gis/playgrounds/17.jpg
-973469	7038529	18	18	Athenry (Baile Átha an Rí)	Central Galway - Oranmore/Athenry	 	Athenry	 	"Cable Runway, 2 Bay Tyre Swing, Multiplay, and Slide, Roundabout, Basket Swing, Cradle Swings, Toddlers Multiplay and   Slide"	"Rúidchosán Cábla, Luascaire, Aonad Ilspraoi le Sleamhnán, Timpeallán, Ciseán Luascadh, Luscán Cliabháin,  Aonad Ilspraoi Lapadáin le Sleamhnán, srl."	 	 	 	 	http://www.galway.ie/gis/playgrounds/18.jpg
-914772	6999285	19	19	Portumna (Port Omna)	South Galway - Loughrea	Galway County Council	"Castle Park, Portumna"	0-12	"Senior and Toddler Multipla Units, Rockers, Rotator - Two Seat, Swing Toddler - 1 Bay 2 Seat and Talk Tubes"	"Aonad Ilspraoi, Aonad Ilspraoi Lapadái, Luascaire, Luascáin (Lapadáin), Tiúb Labhartha, srl."	 	YES	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/19.jpg
-994233	7032502	20	20	Oranmore Village (Sráidbhaile Órán Mór)	Central Galway - Oranmore/Athenry	Oranmore Community Development Assoc Ltd.	Main Street (Behind Main Astro pitch)	0 to 12 Years	"Spika, Supernova, Multiplay Unit Galaxy, Multiplay Unit & Slide, Spring Elephant, Cradle Swings, Junior Swings,"	"Spika, Supernova, Aonad Ilspraoi Galaxy, Aonad Ilspraoi le Sleamhnán, Lingeadan, Luascán Cliabháin,  Luascáin (Sóisearach)"	None specified.	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/20.jpg
-997722	7029242	21	21	"Renville Park (Páirc na Rinne Mhaoile, Órán Mór)"	Central Galway - Oranmore/Athenry	Galway County Council	"Maree Road, Oranmore"	0-12	"Climber – Rota Web, Multiplay, Multiplay – Toddler, Rocker, Slide – Embankment, Swing
 Basket, Swing Junior and Toddler 1 Bay 2 Seat
    Talk Tubes, Tunnels x 2, Willow Dome"	"Dreapadóir, Aonad Ilspraoi,  Aonad Ilspraoi Lapadáin ,Luascaire, Sleamhnán,  Ciseán Luascadh, Luascáin (Sóisearach agus  Lapadáin), Tiúb Labhartha, Tollán, srl."	YES	YES	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/21.jpg
-1059759	6994999	22	22	Inis Oírr	West Galway - Conamara	Comharchumann Forbartha Árann	 	01 to 18	"Double Seesaw, Rubber Toadstool seats, Multiplay, & Slides, Roundabout, Play Panels, Sanddigger, Bridge, Sand Play Structure, Supernova, Spinning Bowl, Multiplay & Slide, Basket Swing, Tractor & Trailer, Wooden Horse, Pony & Trap, Net Multi Playstructure"	"Maide Corrach, Aonad Ilspraoi le Sleamhnán, Timpeallán, Painéal Spraoi, Tochaltóirí Gainimh, Struchtúr Sproi Gainimh, Rothlóir Babhla, Aonad Ilspraoi le Sleamhnán, Ciseán Luascadh, Luascán Cliabháin,  Capall & Trap, Tarracóir agus Leantóir, Rúidchosán Cá"	"Cradle Swings, basket swing, steel boat, Junior & sanddiggers"	NO	10.00 a.m. To 20.00 (Summer) 10.00 a.m. To 17.00 (Winter)	YES	http://www.galway.ie/gis/playgrounds/22.jpg
-1137707	7097361	23	23	 Inishbofin (Inis Bó Finne)	West Galway - Conamara	Inishbofin Community Playground	"Community Playground, Community Centre, Middlequarter"	01 to 10 Years	"Slide, Springbowl, 4 Seat Springer, Spring Dragon, Spring Seesaw, Supernova, 2 Bay Swings, Climber   Embankment Slide"	"Babhla Sprionga, Maide Corrach, Supernova, Luascáin,  Dreapadóir, Sleamhnán, srl."	YES	YES	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/23.jpg
-925494	7079999	24	24	Ballygar (Béal Átha Ghártha)	North Galway - Tuam	Ballygar Newbridge Tohergar Playground Committe	"Main St, Ballygar"	1-12 Years	"Multiplay Unit, Seesaw, Spring Lion, Red Springer, ‘Seal’ Seesaw, Cradle Swings, Flat Swings, Basket Swing, Tunnel, Large Multiplay Unit,"	"Aonad Ilspraoi, Maide Corrach,  Lingeadan, Luascán Cothrom, Luascán Ciabháin,  Ciseán Luascadh,  Aonad Ilspraoi Mór, srl."	Basket Swing	No	Summer 9am-9pm Spring 9am-6pm Winter 9am-4.30	YES	http://www.galway.ie/gis/playgrounds/24.jpg
-972615	7097885	25	25	Dunmore (Dún Mór)	North Galway - Tuam	Dunmore Playground Group	"Barrack St., Dunmore"	01-13 Years	"Aerial Glide, Flat Seat Swings, Basket Swing, Junior Multiplay Unit, Play Panel, Abacus Play
 Panel,  Rotary Net, Rotating Bowl, Horse Springer,  3 Seat Spring Seesaw, Activity Trains, Cradle Swings"	"Luascán Cothrom, Ciseán Luascadh, Aonad Ilspraoi Sóisearach, Painéal Spraoi, Eangacha, Liathróid Rothlach, Maide Corrach, Traein, Luascán Cliabháin, srl."	"Junior Swing Set with Cradle Seats , Rotating Ball, Senior Swing with Basket Seat, Play Panel Fortune, Wheel, Play Panel Abacus Panel, Play Panel     X and O’s."	 	"Multi play unit, Springers, Spinning Bowl, Novatel"	YES	http://www.galway.ie/gis/playgrounds/25.jpg
-1068207	7032624	26	26	An Cheathrú Rua	West Galway - Conamara	Coiste Comhfhiontair An Cheathrú Rua	"An Bóthar Buí, An Cheathrú Rua"	02-15 Years	"Toddler Multiplay Unit, Spring Seesaw, Basket"	"Aonad Ilspraoi Lapadáin, Síp Spraoi Sprionga, Ciseán Luascadh, Luascáin, Aonad Ilspraoi Sóisearach"	Nest Swing	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/26.jpg
-1083890	7027949	27	27	Leitir Mealláin	West Galway - Conamara	Páirc Spraoi Leitir Mealláin	Leitir Mealláin	4 to 13 years	"Supernova, Catria Climber, Basket Swing, Junior Multi Play Unit, Spring Seesaw, Spinner  Bowl, Weather Play Panel"	"Ciseán Luascadh, Aonad Ilspraoi Sóisearach, Maide Corrach Sprionga, Babhla Sprionga, Aimsir Painéal Spraoi, srl."	Weather Play Panel	No	10.00 a.m. To 20.00 (Summer) 10.00 a.m. To 17.00 Winter)	YES	http://www.galway.ie/gis/playgrounds/27.jpg
