X	Y	FID	ID	Location_o	Area_	Managed_By	Playground	AGE_GROUP	List_of_Eq	Liosta_Tre	List_of_00	PUBLIC_TOI	OPENING_HO	PARKING	PHOTO
-994180	7074190	38	39	Belclare (Béal Chláir)	North Galway - Tuam	Belclare/Sylane Community Council	"Belclare, Tuam"	4-14 Years	"Flat Swings, Basket Swing, Climber & Slide, Spring Seesaw, Supernova, Cable Runway"	"Luascán Cothrom, Ciseán Luascadh,  Dreapadóir agus Sleamhnán, Maide Corrach, Supernova, Rúidchosán Cábla"	None	Yes	9 am To 9pm Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/39.jpg
-1056584	7026975	39	40	Indreabhán	West Galway - Conamara	Comharchumann Sailearna Teoranta	Inverin	01 to 12 years	"Climber and Slide, Spring Seesaw, Spica Spinner, Supernova, Roundabout, Crazy Hen Rocker,  Toddler Swings, Basket Swings, Flat Swings, Cable Runway"	"Dreapadóir agus Sleamhnán, Maide Corrach Sprionga, Rothlóir, Supernova, Timpeallán, Luascaire, Luascáin, Ciseán Luascadh, Luascán Cothrom, Rúidchosán Cábla, srl."	None specified.	 	Daylight Hours	 	http://www.galway.ie/gis/playgrounds/40.jpg
-1076546	7006217	40	41	Cill Rónáin (Inis Mór)	West Galway - Conamara	Comhar Caomhán Teoranta	Inis Oírr	01 to 18	"Cradle  Swings, Roller, Ramp and Slide, Cantilever Swing, Flat Swings, Basket Swing, Cable Runway, Rota Net, Spinning Bowl, Multiplay and slide and sand scoop, Sand Diggers, Animal Springer, Octupus Springer, Spring Sail Board"	"Luascán Cliabháin,  Sleamhnán, Luascán Cothrom, Ciseán Luascadh, Rúidchosán Cábla, Rothlóir Babhla, Aonad Ilspraoi le Sleamhnán, Tochaltóirí Gainimh,  Lingeadan, srl."	None specified	YES	10.00 a.m. To 20.00 (Summer) 10.00 a.m. To 17.00 (Winter)	N/A	http://www.galway.ie/gis/playgrounds/41.jpg
-1021898.614	7045758.392	41	42	Maigh Cuilinn	West Galway - Conamara	Tar Isteach Playground	Mountain Road	2 to 12 years	"Cable Runway, Junior Multi Play, Cradle Swings, Yellow Rocker, Three Seat Springer, Adventure Trail, Space Net & Slide, Basket Swing, Flat Swings, Rotanet"	"Rúidchosán Cábla, Aonad Ilspraoi Sóisearach, Luascáin, Luascaire, Sleamhnán, Ciseán Luascadh, Luascán Cothrom"	"Basket Swing, cradle swings & picnic table with adapted seating"	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/42.jpg
-1021556.369	7048274.531	42	43	Maigh Cuilinn (Clós Súgartha Páirc Imeartha)	West Galway - Conamara	Coiste Pairc Maigh Cuillinn Playground	"Baile Doite, Maigh Cuillinn"	03 to 12	"Slide, Spinning Bowl, Spring Seesaw, Flat Swings, Playhouse"	"Sleamhnán, Rothlóir Babhla, Maide Corrach, Luascán Cothrom Teach Spraoi"	A spinner & a Playhouse	Yes	When pitch in use	YES	http://www.galway.ie/gis/playgrounds/43.jpg
-1038181	7062466	43	44	Oughterard Playground (Uachtar Ard)	West Galway - Conamara	Oughterard Playground Committee	"Corribdale Grounds, Oughterard"	2 to 12 years	"1 Bay, 2 Cradle Seat Swing, Play Panel, 1 Bay, 2, Flat Seat Swing, Play Panel, Springers, Multi Play Unit, Carousel, Talk Tubes"	"Luascáin, Painéal Spraoi, Luascán Cothrom, Painéal Spraoi, Aonad Ilspraoi, Tiúb Labhartha"	"Junior Swings, play phones, 6 play panels, Ocean See Saw"	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/44.jpg
-1121696	7063222	44	45	Ballyconneely (Baile Conaola)	West Galway - Conamara	Ballyconneely Community Playground	"Ballyconneely, Clifden"	01 to 12 Years	"Flat Swings, Basket Swing, Spring Bucket, Sand Pit, Seesaw, Vertical Spinner, Toddler and Senior Multi Unit."	"Luascán Cothrom, Ciseán Luascadh, Maide Corrach, Aonad Ilspraoi, srl."	None specified.	NO	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/45.jpg
-1051806	7078690	45	46	Chorr na Móna	West Galway - Conamara	Coiste Forbartha Chorr na Móna	Corr na Móna	02-15 Years	"1 Bay, 2 Flat seat Swing, Basket Swing, 1 Bay, 1 flat,1 cradle seat Swing, Play Panel,     Multi play unit, Springers, Spinning Bowl, Novatel"	"Luascáin, Luascán Cothrom, Ciseán Luascadh, Painéal Spraoi, Aonad Ilspraoi, Rothlóir Babhla, Novatel, srl."	 	 	 	YES	http://www.galway.ie/gis/playgrounds/46.jpg
-980285	7012038	46	47	Ardrahan/Labane (Ard Raithin/An Lábán)	East Galway-Ballinasloe	Ardrahan Playground Limited	"Labane, Ardrahan (between St. Theresas Church and Quinn/Loughnane memorial)"	2-12 Years	"Carousel Supernova, Multiplay, Rocker-Crazy Horse Seesaw, Swing Basket, Swing Junior/Toddler  – 1 Bay 2 seat"	"Supernova, Aonad Ilspraoi, Luascaire, Maide Corrach, Luascáin, Ciseán Luascadh"	Junior Swing with cradle seat & swing with basket seat	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/47.jpg
-984423	7077971	47	48	"Tuam (Parkmore Play Area) , Tuaim  (Clós Súgartha ag an Pháirc Mhór)"	North Galway - Tuam	Galway County Council	"Parkmore,  Tuam"	 	"Carousel – Supernova, Play Tractor with Trailer, Rocker – Horse, Rocker – Seesaw – Spring, Runway – Cable, Slide, Swing Basket, Swing – Junior – 1 Bay, 2 Seat, Swing – Junior -1 Bay, 2 Seat x 2"	"Supernova, Tarracóir agus Leantóir,  Luascaire, Maide Corrach, Rúidchosán Cábla,  Sleamhnán, Ciseán Luascadh, Luascáin, srl."	None specified.	NO	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/48.jpg
